COMMAND     PID                         USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
zabbix_ag  3848                       zabbix    5u  IPv6      47673      0t0  TCP *:10050 (LISTEN)
zabbix_ag  3849                       zabbix    4u  IPv4      47672      0t0  TCP *:10050 (LISTEN)
zabbix_ag  3849                       zabbix    5u  IPv6      47673      0t0  TCP *:10050 (LISTEN)
zabbix_ag  3850                       zabbix    4u  IPv4      47672      0t0  TCP *:10050 (LISTEN)
zabbix_ag  3850                       zabbix    5u  IPv6      47673      0t0  TCP *:10050 (LISTEN)
swiagent   3864                     swiagent   17u  IPv4 2027561256      0t0  TCP 175.209.34.63:20290->172.16.131.199:17778 (SYN_SENT)
swiagent   3864                     swiagent   27u  IPv4 2027512661      0t0  TCP 175.209.34.63:34126->172.16.131.199:17778 (SYN_SENT)
swiagent   3864                     swiagent   28u  IPv4 2027536094      0t0  TCP 175.209.34.63:34124->172.16.131.199:17778 (SYN_SENT)
apm-serve  4411                         root    9u  IPv4      42663      0t0  TCP 127.0.0.1:13588->127.0.0.1:6789 (ESTABLISHED)
apm-serve  4411                         root   11u  IPv4      44441      0t0  TCP 127.0.0.1:8200 (LISTEN)
apm-serve  4411                         root   14u  IPv4 2006171316      0t0  TCP 127.0.0.1:8200->127.0.0.1:38224 (ESTABLISHED)
apm-serve  4411                         root   15u  IPv4 2026771510      0t0  TCP 127.0.0.1:8200->127.0.0.1:37230 (ESTABLISHED)
apm-serve  4411                         root   16u  IPv4 2027002846      0t0  TCP 127.0.0.1:8200->127.0.0.1:32640 (ESTABLISHED)
apm-serve  4411                         root   17u  IPv4 1951950741      0t0  TCP 127.0.0.1:8200->127.0.0.1:22786 (ESTABLISHED)
apm-serve  4411                         root   18u  IPv4 2026250595      0t0  TCP 127.0.0.1:8200->127.0.0.1:52388 (ESTABLISHED)
apm-serve  4411                         root   19u  IPv4 1938266248      0t0  TCP 127.0.0.1:8200->127.0.0.1:40006 (ESTABLISHED)
apm-serve  4411                         root   20u  IPv4 1999945550      0t0  TCP 127.0.0.1:8200->127.0.0.1:25458 (ESTABLISHED)
apm-serve  4411                         root   21u  IPv4 1899883715      0t0  TCP 127.0.0.1:8200->127.0.0.1:15938 (ESTABLISHED)
apm-serve  4411                         root   22u  IPv4 2006945102      0t0  TCP 127.0.0.1:8200->127.0.0.1:63102 (ESTABLISHED)
apm-serve  4411                         root   23u  IPv4 2027354292      0t0  TCP 127.0.0.1:8200->127.0.0.1:53032 (ESTABLISHED)
apm-serve  4411                         root   24u  IPv4 1845878828      0t0  TCP 127.0.0.1:8200->127.0.0.1:38674 (ESTABLISHED)
apm-serve  4411                         root   25u  IPv4 1913259036      0t0  TCP 175.209.34.63:62314->175.209.34.86:9200 (ESTABLISHED)
apm-serve  4411                         root   26u  IPv4 1991238518      0t0  TCP 127.0.0.1:8200->127.0.0.1:59166 (ESTABLISHED)
apm-serve  4411                         root   27u  IPv4 2027635713      0t0  TCP 127.0.0.1:8200->127.0.0.1:14382 (ESTABLISHED)
apm-serve  4411                         root   28u  IPv4 1900980777      0t0  TCP 127.0.0.1:8200->127.0.0.1:27542 (ESTABLISHED)
